Fecha de la captura,Nombre Blockchain,Token,Nombre,Precio (en US$),Ranking,Clase
28/01/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
29/01/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
30/01/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
31/01/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
01/02/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
02/02/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
03/02/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
04/02/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
05/02/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
06/02/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
07/02/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
08/02/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
09/02/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
10/02/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
11/02/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
12/02/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
13/02/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
14/02/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
15/02/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
16/02/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
17/02/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
18/02/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
19/02/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
20/02/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
21/02/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
22/02/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
23/02/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
24/02/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
25/02/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
26/02/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
27/02/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
28/02/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
29/02/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
01/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
02/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
03/03/2024,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
04/03/2024,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
05/03/2024,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
06/03/2024,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
07/03/2024,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
08/03/2024,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
09/03/2024,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
10/03/2024,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
11/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
12/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
13/03/2024,Solana,SHIT,Shitcoin (SOL),0.0119650695924362,2715.0,3
